RecordID,SatelliteName,Country,OrbitType,ObjectType,LaunchYear,LaunchSite,Longitude,AvgLongitude,Geohash,DaysOld,ConjunctionCount,StillInOrbit,RiskLevel
30005,FENGYUN 1C DEB,PRC,LEO,DEBRIS,1999,TSC,132.5500054,-71.52760996,"38.849086,0,9400,true,High
30155,FENGYUN 1C DEB,PRC,LEO,DEBRIS,1999,TSC,-137.886235,31.22346425,"38.849086,0,9400,true,High
32119,FENGYUN 1C DEB,PRC,LEO,DEBRIS,1999,TSC,156.1541958,-76.53691091,"38.849086,0,9400,true,High
33558,ARIANE 2 DEB,FR,HEO,DEBRIS,1989,FRGUI,-166.7406377,133.0162242,"5.222222,0,13155,true,High
33776,IRIDIUM 33 DEB,US,LEO,DEBRIS,1997,TTMTR,-161.531332,-162.0095456,"45.965,0,10003,true,Low
35796,COSMOS 2251 DEB,CIS,LEO,DEBRIS,1993,PKMTR,130.7502125,0.0,"62.925556,0,11554,true,High
39166,NAVSTAR 68 (USA 242),US,MEO,PAYLOAD,2013,AFETR,28.25676647,91.14947619,"28.4917337,0,4281,true,High
40862,CZ-3C DEB,PRC,HEO,DEBRIS,2012,XSC,0.0,0.0,"28.246017,0,4727,false,Low
48539,SL-12 DEB,CIS,HEO,DEBRIS,2008,TTMTR,0.0,0.0,"45.965,0,5974,false,Low
49206,ONEWEB-0340,UK,LEO,PAYLOAD,2021,TTMTR,-151.8141968,-58.74088174,"45.965,0,1237,true,High
49280,ONEWEB-0347,UK,LEO,PAYLOAD,2021,VOSTO,-34.18039604,156.9912223,"51.884553,0,1207,true,High
51634,ONEWEB-0438,UK,LEO,PAYLOAD,2022,FRGUI,85.3236077,-94.10556941,"5.222222,0,1088,true,High
51789,STARLINK-3639,US,LEO,PAYLOAD,2022,AFWTR,23.50347007,62.9845702,"34.742221,0,1073,true,Moderate
5181,SL-8 R/B,CIS,LEO,ROCKET BODY,1971,PKMTR,77.29306131,-144.6792282,"62.925556,0,19639,true,High
52967,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0.0,0.0,"28.4917337,0,2300,false,Low
53093,COSMOS 2251 DEB,CIS,LEO,DEBRIS,1993,PKMTR,-1.027667928,145.8261586,"62.925556,0,11554,true,High
53223,STARLINK-4354,US,LEO,PAYLOAD,2022,AFWTR,34.33020449,131.3071355,"34.742221,0,926,true,High
54010,STARLINK-5127,US,LEO,PAYLOAD,2022,AFWTR,-80.57765731,-41.81888148,"34.742221,0,851,true,Moderate
54198,STARLINK-5246,US,LEO,PAYLOAD,2022,AFWTR,92.60330935,148.7792243,"34.742221,0,828,true,High
56413,STARLINK-6258,US,LEO,PAYLOAD,2023,AFETR,55.36119812,23.89291919,"28.4917337,0,640,true,Moderate
57329,STARLINK-6138,US,LEO,PAYLOAD,2023,AFETR,54.49633275,22.98512313,"28.4917337,0,567,true,Moderate
58639,STARLINK-31070,US,LEO,PAYLOAD,2023,AFETR,107.8044107,-41.53728907,"28.4917337,0,407,true,High
